user_id,employee_name,login_count,usb_events,email_count,attachment_count,file_access_count,website_count,O,C,E,A,N,after_hours_login
AIS0405,Amaya Iola Sawyer,7,0.0,9.0,7.0,0.0,0.0,40.0,45.0,14.0,37.0,35.0,5.0
AJC0840,Anne Jane Carey,7,0.0,1.0,0.0,0.0,0.0,14.0,24.0,19.0,33.0,37.0,3.0
AJD0074,Alden Jesse Day,12,6.0,10.0,6.0,8.0,25.0,19.0,37.0,45.0,22.0,34.0,4.0
AJF0370,Arthur John Floyd,43,201.0,21.0,17.0,223.0,0.0,37.0,33.0,11.0,15.0,36.0,29.0
AJH0175,Aurora Jael Hopkins,10,2.0,15.0,2.0,0.0,3.0,19.0,19.0,16.0,33.0,37.0,6.0
AJL0462,Akeem Jerry Lopez,12,0.0,1.0,2.0,0.0,0.0,16.0,24.0,44.0,31.0,28.0,6.0
AJN0607,Armand Jasper Nicholson,15,43.0,15.0,21.0,21.0,0.0,45.0,42.0,16.0,47.0,23.0,1.0
AJP0723,Ann Jolie Potts,8,0.0,2.0,0.0,0.0,1.0,24.0,29.0,17.0,12.0,29.0,4.0
AJR0319,Arthur Jacob Raymond,16,0.0,45.0,26.0,0.0,324.0,40.0,13.0,37.0,16.0,24.0,6.0
AJR0932,Amal Judah Rich,8,0.0,9.0,0.0,0.0,10.0,46.0,30.0,35.0,12.0,29.0,4.0
AKC0924,Amena Karyn Christian,7,0.0,9.0,3.0,0.0,0.0,40.0,44.0,35.0,37.0,27.0,3.0
AKF0709,Amity Kendall Foley,8,0.0,1.0,0.0,0.0,1.0,42.0,31.0,29.0,22.0,32.0,4.0
AKH0758,Adam Kendall Harrell,8,0.0,3.0,2.0,0.0,0.0,24.0,38.0,40.0,37.0,27.0,0.0
AKK0329,Anastasia Kylan Kaufman,7,0.0,3.0,3.0,0.0,2.0,45.0,22.0,25.0,39.0,22.0,7.0
AKR0057,Aurora Katell Rhodes,10,31.0,9.0,0.0,9.0,0.0,50.0,41.0,20.0,18.0,30.0,4.0
AKW0167,Arsenio Kato Wilder,8,0.0,11.0,0.0,0.0,2.0,38.0,38.0,20.0,14.0,35.0,4.0
ALB0892,Arthur Lucian Bonner,11,0.0,9.0,3.0,0.0,58.0,25.0,19.0,44.0,22.0,30.0,5.0
ALC0788,Amy Lucy Chen,7,0.0,3.0,1.0,0.0,0.0,34.0,18.0,15.0,36.0,35.0,3.0
ALD0529,Alma Leila Duncan,11,0.0,3.0,3.0,0.0,0.0,35.0,21.0,19.0,21.0,27.0,0.0
ALD0544,Ayanna Leandra Dunlap,7,0.0,9.0,14.0,0.0,0.0,16.0,18.0,18.0,13.0,32.0,3.0
ALH0402,Adena Lisandra Hardin,7,0.0,10.0,8.0,0.0,0.0,43.0,23.0,43.0,46.0,32.0,4.0
AMD0077,Ainsley MacKensie Doyle,8,0.0,29.0,12.0,0.0,0.0,23.0,19.0,12.0,25.0,25.0,4.0
AMH0464,Alfreda Morgan Holloway,7,0.0,1.0,0.0,0.0,0.0,45.0,16.0,42.0,37.0,21.0,4.0
AMH0794,Ali Murphy Hurley,7,0.0,9.0,7.0,0.0,0.0,43.0,42.0,33.0,40.0,31.0,0.0
AMJ0297,Albert Mohammad Joseph,7,0.0,1.0,0.0,0.0,0.0,16.0,43.0,50.0,18.0,28.0,1.0
AMM0014,Alec Mannix Mcneil,7,0.0,18.0,0.0,0.0,7.0,48.0,38.0,15.0,44.0,36.0,7.0
AMR0318,Axel Malik Rosa,11,6.0,17.0,3.0,0.0,1.0,45.0,50.0,17.0,25.0,21.0,4.0
AMR0400,Aurelia Martina Reese,7,0.0,10.0,0.0,0.0,0.0,19.0,16.0,47.0,28.0,28.0,5.0
AMV0036,Aquila Mark Vega,8,0.0,14.0,0.0,0.0,4.0,43.0,36.0,42.0,37.0,26.0,4.0
AMW0392,Alea Maggie Whitfield,15,0.0,26.0,5.0,0.0,180.0,47.0,47.0,22.0,44.0,26.0,8.0
ANM0123,Astra Nicole Maldonado,9,23.0,17.0,7.0,13.0,0.0,22.0,15.0,16.0,21.0,26.0,3.0
ANP0555,Alexa Nadine Poole,7,0.0,9.0,0.0,0.0,0.0,13.0,40.0,42.0,23.0,28.0,4.0
ANT0430,Amaya Noelle Terrell,11,0.0,9.0,9.0,0.0,0.0,12.0,19.0,23.0,48.0,31.0,1.0
AOB0019,Azalia Orli Beach,7,0.0,21.0,8.0,0.0,0.0,11.0,17.0,13.0,24.0,28.0,2.0
AOK0844,Armand Odysseus Key,15,16.0,3.0,3.0,15.0,20.0,11.0,30.0,44.0,26.0,31.0,5.0
AOS0987,Alice Orli Stout,13,0.0,9.0,4.0,0.0,0.0,16.0,32.0,40.0,30.0,27.0,3.0
APG0307,Aaron Porter Gutierrez,7,0.0,1.0,2.0,0.0,0.0,43.0,39.0,36.0,43.0,22.0,1.0
AQD0820,Akeem Quamar Davenport,7,0.0,9.0,4.0,0.0,0.0,41.0,31.0,27.0,24.0,39.0,3.0
ARA0252,Alexander Rafael Arnold,12,0.0,9.0,6.0,0.0,0.0,39.0,39.0,27.0,21.0,35.0,1.0
ARB0834,Amelia Rhoda Burgess,7,0.0,1.0,0.0,0.0,0.0,40.0,42.0,40.0,49.0,26.0,3.0
ARB0881,Abel Reese Boone,7,0.0,3.0,3.0,0.0,0.0,38.0,46.0,43.0,10.0,35.0,3.0
ARD0509,Abdul Ralph Deleon,8,0.0,0.0,0.0,0.0,0.0,50.0,40.0,35.0,32.0,32.0,0.0
ARL0034,August Ronan Lucas,8,0.0,17.0,6.0,0.0,0.0,41.0,39.0,27.0,21.0,26.0,4.0
ASB0796,Ayanna Sylvia Blankenship,7,0.0,9.0,6.0,0.0,0.0,30.0,40.0,23.0,38.0,34.0,0.0
ASD0577,Aquila Stewart Dejesus,7,0.0,1.0,0.0,0.0,0.0,40.0,48.0,36.0,14.0,37.0,3.0
ASG0048,Alec Scott Goff,8,0.0,11.0,8.0,0.0,0.0,41.0,36.0,19.0,24.0,37.0,1.0
ASG0692,Anastasia Sage Griffith,7,0.0,9.0,4.0,0.0,0.0,26.0,40.0,41.0,23.0,27.0,3.0
ASL0378,Axel Seth Lewis,11,0.0,9.0,3.0,0.0,0.0,15.0,15.0,41.0,21.0,27.0,1.0
ASM0575,Aurora Sarah Manning,11,0.0,1.0,2.0,0.0,0.0,42.0,25.0,21.0,45.0,30.0,3.0
ASS0206,Ashely Sarah Shields,8,0.0,14.0,0.0,0.0,8.0,12.0,18.0,20.0,28.0,30.0,4.0
ASS0517,Alfreda Sierra Savage,11,0.0,3.0,2.0,0.0,0.0,36.0,35.0,47.0,44.0,32.0,0.0
ASV0946,Alice Sierra Valenzuela,11,0.0,2.0,2.0,0.0,0.0,35.0,12.0,46.0,17.0,26.0,4.0
ATE0869,Aquila Tanner Ellison,15,14.0,46.0,21.0,27.0,309.0,13.0,15.0,40.0,44.0,33.0,7.0
ATF0274,Alea Tana Ferrell,7,0.0,8.0,6.0,0.0,0.0,20.0,45.0,48.0,27.0,28.0,4.0
ATP0662,Aurora Tatiana Payne,13,12.0,14.0,12.0,28.0,0.0,17.0,16.0,41.0,20.0,39.0,5.0
AVM0947,Ayanna Vivian Murray,8,127.0,0.0,0.0,158.0,2.0,10.0,25.0,30.0,44.0,39.0,4.0
AWM0764,Akeem William Mayer,8,0.0,3.0,0.0,0.0,0.0,47.0,37.0,39.0,42.0,36.0,0.0
BAH0875,Brianna Aretha Hopper,9,0.0,19.0,2.0,0.0,1.0,43.0,19.0,26.0,17.0,30.0,6.0
BAJ0654,Brock Aladdin Joyce,7,10.0,3.0,3.0,103.0,0.0,36.0,10.0,47.0,10.0,41.0,3.0
BAK0964,Beatrice Alexis Kidd,8,0.0,1.0,0.0,0.0,3.0,25.0,16.0,22.0,18.0,28.0,4.0
BAL0044,Byron Armand Livingston,28,52.0,11.0,7.0,55.0,10.0,14.0,41.0,26.0,44.0,30.0,20.0
BAM0611,Brielle Aubrey Marks,10,0.0,19.0,16.0,0.0,0.0,25.0,30.0,39.0,23.0,25.0,1.0
BAM0636,Brenda Alika Matthews,7,0.0,3.0,0.0,0.0,0.0,13.0,40.0,46.0,42.0,39.0,3.0
BBG0325,Blair Bruno Grimes,10,16.0,15.0,8.0,6.0,2.0,41.0,50.0,30.0,37.0,40.0,4.0
BBH0810,Bruno Beau Hoover,7,0.0,12.0,0.0,0.0,0.0,40.0,25.0,10.0,21.0,32.0,3.0
BBS0039,Bevis Brady Sheppard,22,0.0,11.0,5.0,0.0,7.0,44.0,37.0,34.0,21.0,40.0,16.0
BBS0422,Buckminster Benjamin Swanson,7,7.0,9.0,4.0,9.0,4.0,39.0,42.0,29.0,41.0,18.0,4.0
BCB0679,Buckminster Connor Bush,12,0.0,9.0,11.0,0.0,0.0,46.0,36.0,39.0,31.0,31.0,1.0
BCM0653,Bevis Christopher Mcknight,7,0.0,3.0,3.0,0.0,0.0,45.0,34.0,41.0,18.0,31.0,3.0
BCR0581,Bruno Carter Robles,12,0.0,1.0,2.0,0.0,0.0,20.0,11.0,34.0,36.0,30.0,3.0
BDB0453,Brett Damian Beck,9,0.0,1.0,0.0,0.0,0.0,41.0,42.0,27.0,41.0,26.0,7.0
BDI0533,Bruno Donovan Ingram,15,43.0,9.0,6.0,49.0,60.0,37.0,36.0,15.0,41.0,19.0,0.0
BDV0168,Blair Deborah Vaughn,8,0.0,26.0,7.0,0.0,2.0,45.0,31.0,19.0,21.0,31.0,4.0
BEC0505,Bruce Eden Clemons,7,0.0,16.0,6.0,0.0,0.0,35.0,21.0,30.0,19.0,32.0,0.0
BEH0615,Barclay Eaton Hensley,10,12.0,30.0,22.0,1.0,1.0,24.0,20.0,50.0,22.0,26.0,2.0
BER0314,Bianca Elizabeth Roach,8,0.0,10.0,0.0,0.0,4.0,23.0,20.0,18.0,19.0,32.0,4.0
BHC0665,Blaine Helen Cervantes,10,0.0,11.0,15.0,0.0,0.0,14.0,21.0,12.0,12.0,32.0,0.0
BHW0458,Beau Hall Watts,7,0.0,1.0,0.0,0.0,0.0,36.0,32.0,28.0,30.0,29.0,4.0
BIH0745,Benjamin Ignatius Hooper,8,0.0,15.0,22.0,0.0,0.0,43.0,39.0,50.0,27.0,25.0,2.0
BIS0247,Bryar Ivana Sweet,13,0.0,9.0,7.0,0.0,0.0,36.0,19.0,18.0,39.0,37.0,4.0
BJH0354,Bert Jason Henderson,7,0.0,14.0,0.0,0.0,0.0,22.0,21.0,31.0,20.0,36.0,0.0
BJH0811,Blaze Jakeem Hahn,7,0.0,9.0,0.0,0.0,0.0,48.0,39.0,44.0,14.0,40.0,3.0
BJM0111,Bell Jorden Martinez,9,121.0,3.0,4.0,138.0,0.0,22.0,24.0,39.0,41.0,19.0,4.0
BJP0134,Beck John Peters,10,124.0,1.0,0.0,146.0,0.0,42.0,17.0,44.0,21.0,39.0,2.0
BJW0619,Blaine Jelani Weeks,8,0.0,28.0,3.0,0.0,0.0,30.0,43.0,47.0,21.0,39.0,2.0
BKW0374,Blossom Keiko Weiss,30,0.0,10.0,7.0,0.0,0.0,41.0,38.0,17.0,46.0,27.0,18.0
BLB0114,Brent Laith Beck,12,0.0,9.0,5.0,0.0,0.0,38.0,48.0,41.0,15.0,22.0,3.0
BLL0929,Bethany Lydia Lyons,8,0.0,9.0,2.0,0.0,20.0,44.0,49.0,10.0,41.0,39.0,4.0
BLS0678,Benjamin Lewis Sweeney,11,0.0,10.0,7.0,0.0,0.0,35.0,17.0,43.0,28.0,31.0,2.0
BMC0547,Britanni Marah Cash,7,0.0,14.0,0.0,0.0,0.0,41.0,18.0,22.0,21.0,35.0,3.0
BMG0917,Beverly Melissa Garner,9,126.0,9.0,3.0,148.0,0.0,43.0,36.0,41.0,23.0,34.0,3.0
BMM0112,Barry Martin Mason,7,0.0,3.0,2.0,0.0,0.0,40.0,36.0,24.0,40.0,25.0,3.0
BMS0877,Brynn Madeline Sherman,7,0.0,19.0,12.0,0.0,4.0,31.0,50.0,11.0,43.0,33.0,4.0
BMT0528,Brittany Mona Terry,10,33.0,3.0,4.0,31.0,0.0,33.0,25.0,39.0,25.0,30.0,0.0
BNG0237,Brian Nathaniel Greer,10,0.0,11.0,17.0,0.0,0.0,39.0,36.0,36.0,47.0,27.0,3.0
BNR0965,Basia Nevada Riggs,11,0.0,1.0,2.0,0.0,2.0,47.0,19.0,15.0,20.0,22.0,4.0
BQS0525,Britanney Quail Snyder,13,184.0,9.0,6.0,13.0,54.0,42.0,38.0,19.0,45.0,30.0,0.0
BRB0355,Burke Randall Burnett,17,50.0,29.0,14.0,16.0,200.0,33.0,21.0,37.0,19.0,29.0,0.0
BRM0995,Brianna Rebecca Mcintyre,10,126.0,9.0,10.0,11.0,0.0,20.0,11.0,32.0,26.0,40.0,3.0
BRS0734,Burke Rooney Stafford,9,34.0,24.0,12.0,151.0,162.0,32.0,39.0,47.0,10.0,30.0,1.0
BSA0431,Blossom Scarlett Aguirre,8,0.0,9.0,3.0,0.0,0.0,50.0,41.0,19.0,40.0,29.0,2.0
BSB0990,Bruce Sawyer Barrera,8,0.0,9.0,4.0,0.0,20.0,34.0,44.0,13.0,43.0,37.0,4.0
BSH0445,Bethany Stephanie Haynes,8,0.0,13.0,12.0,0.0,0.0,38.0,22.0,30.0,15.0,21.0,1.0
BSS0369,Brenden Samuel Shaffer,38,233.0,20.0,3.0,112.0,120.0,39.0,42.0,34.0,14.0,32.0,22.0
BSS0463,Bruno Stewart Silva,7,0.0,1.0,2.0,0.0,0.0,32.0,40.0,40.0,38.0,28.0,4.0
BTL0226,Bernard Tobias Landry,9,0.0,14.0,10.0,0.0,0.0,36.0,44.0,37.0,38.0,31.0,4.0
BTL0722,Blair Todd Long,8,0.0,1.0,0.0,0.0,1.0,39.0,41.0,36.0,17.0,49.0,4.0
BTN0061,Benjamin Tyrone Norman,12,0.0,9.0,9.0,0.0,0.0,42.0,21.0,22.0,20.0,22.0,5.0
BTR0403,Beck Troy Richards,12,18.0,11.0,3.0,5.0,0.0,47.0,47.0,21.0,17.0,28.0,5.0
BTS0011,Blaze Trevor Stone,8,0.0,28.0,11.0,0.0,15.0,25.0,42.0,16.0,25.0,29.0,4.0
BTW0005,Byron Tyrone Williamson,10,0.0,43.0,29.0,0.0,26.0,33.0,39.0,18.0,18.0,27.0,4.0
BVC0790,Blythe Veda Cooke,17,30.0,18.0,19.0,14.0,95.0,24.0,18.0,18.0,36.0,38.0,6.0
BVN0514,Buffy Vivien Nichols,8,0.0,3.0,3.0,0.0,0.0,36.0,23.0,30.0,23.0,22.0,0.0
BWH0813,Brock William Hunter,7,0.0,9.0,9.0,0.0,0.0,36.0,36.0,33.0,20.0,30.0,3.0
BWP0202,Baxter William Price,12,9.0,11.0,6.0,14.0,10.0,20.0,36.0,15.0,25.0,28.0,4.0
BXJ0010,Bethany Xerxes Johnson,7,0.0,18.0,0.0,0.0,0.0,46.0,24.0,30.0,35.0,34.0,4.0
BYP0070,Bertha Yetta Parrish,7,0.0,13.0,0.0,0.0,0.0,30.0,19.0,41.0,21.0,33.0,3.0
CAA0612,Chelsea Aspen Allen,11,10.0,15.0,9.0,26.0,0.0,20.0,41.0,32.0,42.0,31.0,2.0
CAB0388,Cedric Alexander Bowers,12,0.0,9.0,9.0,0.0,0.0,37.0,33.0,23.0,40.0,36.0,1.0
CAB0614,Cora Aurora Buckner,12,20.0,32.0,17.0,14.0,0.0,17.0,38.0,22.0,12.0,34.0,2.0
CAC0889,Caesar Allen Cash,7,0.0,3.0,0.0,0.0,0.0,46.0,49.0,32.0,41.0,27.0,3.0
CAH0936,Constance Audrey Hicks,13,0.0,8.0,2.0,0.0,14.0,40.0,22.0,39.0,50.0,24.0,6.0
CAM0102,Chandler Ashton Madden,7,0.0,12.0,0.0,0.0,10.0,31.0,44.0,19.0,15.0,27.0,4.0
CAM0681,Cole Aaron Mcfarland,10,20.0,9.0,11.0,18.0,0.0,41.0,43.0,45.0,10.0,28.0,3.0
CAN0842,Chadwick Armand Nunez,7,0.0,1.0,0.0,0.0,0.0,38.0,41.0,22.0,39.0,29.0,3.0
CAS0507,Carla Amelia Shannon,16,24.0,3.0,2.0,159.0,0.0,14.0,46.0,33.0,11.0,25.0,0.0
CBB0365,Cain Byron Baldwin,31,0.0,11.0,11.0,0.0,0.0,37.0,17.0,20.0,41.0,33.0,12.0
CBG0398,Courtney Brynn Garrett,7,0.0,9.0,3.0,0.0,0.0,40.0,21.0,41.0,10.0,24.0,4.0
CBG0490,Callum Brendan Gonzalez,7,0.0,14.0,7.0,0.0,0.0,50.0,31.0,35.0,10.0,29.0,0.0
CCA0046,Cyrus Connor Atkinson,20,32.0,11.0,11.0,36.0,3.0,36.0,43.0,25.0,15.0,28.0,14.0
CCC0393,Chaim Chadwick Chang,7,0.0,7.0,0.0,0.0,1.0,35.0,30.0,40.0,16.0,26.0,4.0
CCH0182,Clayton Clark Humphrey,7,0.0,3.0,2.0,0.0,1.0,42.0,44.0,47.0,23.0,29.0,7.0
CCH0685,Cora Clementine Higgins,10,0.0,9.0,10.0,0.0,0.0,47.0,24.0,42.0,34.0,29.0,3.0
CCL0068,Camilla Camille Leach,7,34.0,15.0,3.0,16.0,0.0,13.0,16.0,23.0,19.0,23.0,4.0
CCM0136,Cailin Casey Mckee,11,4.0,1.0,2.0,0.0,0.0,16.0,16.0,39.0,40.0,29.0,2.0
CCM0467,Chester Caldwell Mendoza,7,0.0,1.0,0.0,0.0,0.0,43.0,40.0,19.0,26.0,25.0,3.0
CCM0855,Chanda Celeste Mosley,7,0.0,15.0,2.0,0.0,6.0,31.0,24.0,19.0,36.0,29.0,4.0
CCR0863,Charde Cynthia Rasmussen,7,0.0,15.0,0.0,0.0,7.0,20.0,30.0,37.0,14.0,29.0,4.0
CCW0031,Clinton Coby Wolfe,8,0.0,22.0,22.0,0.0,6.0,33.0,47.0,30.0,39.0,33.0,4.0
CCW0524,Camilla Claire Whitehead,8,0.0,3.0,3.0,0.0,0.0,40.0,25.0,20.0,21.0,25.0,0.0
CEB0210,Colin Evan Brown,8,0.0,27.0,9.0,0.0,3.0,42.0,24.0,44.0,23.0,34.0,4.0
CEJ0109,Casey Edward Joyce,7,24.0,10.0,0.0,17.0,0.0,21.0,46.0,17.0,17.0,32.0,3.0
CEL0561,Calvin Edan Love,10,0.0,9.0,3.0,0.0,0.0,40.0,39.0,36.0,19.0,40.0,2.0
CFG0959,Cassidy Florence Gibbs,10,0.0,1.0,0.0,0.0,1.0,42.0,21.0,24.0,17.0,20.0,6.0
CFM0767,Cecilia Freya Morgan,13,16.0,3.0,0.0,10.0,0.0,46.0,23.0,22.0,35.0,29.0,0.0
CFW0264,Carl Ferdinand Wong,8,0.0,9.0,0.0,0.0,12.0,19.0,32.0,17.0,20.0,27.0,4.0
CGA0629,Cullen Gary Adams,8,0.0,15.0,0.0,0.0,0.0,36.0,35.0,24.0,49.0,28.0,1.0
CGB0637,Claudia Galena Baldwin,11,48.0,1.0,0.0,39.0,0.0,20.0,20.0,15.0,20.0,29.0,3.0
CGF0337,Chaim Grant Fernandez,7,0.0,3.0,0.0,0.0,2.0,32.0,30.0,43.0,15.0,31.0,7.0
CHG0146,Cedric Herrod Gilliam,8,0.0,13.0,6.0,0.0,0.0,40.0,20.0,39.0,19.0,35.0,0.0
CHM0821,Carter Harrison Maldonado,12,8.0,1.0,2.0,22.0,0.0,48.0,11.0,39.0,19.0,23.0,3.0
CIG0052,Chastity Ima Gibson,7,0.0,16.0,3.0,0.0,0.0,17.0,45.0,17.0,16.0,24.0,0.0
CIM0271,Colt Ishmael Mccall,10,31.0,18.0,16.0,31.0,5.0,24.0,27.0,10.0,20.0,38.0,4.0
CIM0926,Caldwell Ian Maxwell,7,0.0,9.0,0.0,0.0,0.0,31.0,25.0,41.0,17.0,31.0,3.0
CJC0494,Caleb Jonas Chang,7,0.0,15.0,10.0,0.0,0.0,40.0,39.0,39.0,42.0,42.0,0.0
CJF0802,Camille Julie Freeman,13,0.0,10.0,12.0,0.0,0.0,36.0,39.0,38.0,43.0,21.0,0.0
CJG0470,Callum Jasper Gilmore,7,0.0,2.0,0.0,0.0,0.0,44.0,45.0,22.0,32.0,24.0,3.0
CJH0702,Calvin Jarrod Hood,8,0.0,1.0,0.0,0.0,0.0,46.0,24.0,30.0,25.0,37.0,4.0
CJK0200,Cora Jane Kinney,8,0.0,12.0,0.0,0.0,8.0,40.0,29.0,24.0,38.0,31.0,4.0
CJM0138,Colorado Joel Merrill,7,0.0,1.0,2.0,0.0,0.0,10.0,40.0,21.0,17.0,23.0,2.0
CJM0521,Cleo Jeanette Morales,11,0.0,8.0,3.0,0.0,58.0,13.0,18.0,37.0,18.0,24.0,0.0
CJP0952,Cody Jonathan Potter,11,0.0,1.0,2.0,0.0,1.0,45.0,18.0,25.0,18.0,27.0,4.0
CJV0286,Colorado John Valentine,9,0.0,3.0,4.0,0.0,0.0,18.0,14.0,17.0,13.0,26.0,3.0
CKB0427,Cathleen Kelsey Burke,8,0.0,12.0,10.0,0.0,0.0,38.0,38.0,36.0,43.0,37.0,1.0
CKB0482,Colton Kaseem Bolton,7,0.0,15.0,0.0,0.0,0.0,36.0,48.0,37.0,46.0,25.0,0.0
CKD0680,Cheyenne Kay Dickerson,8,0.0,9.0,12.0,0.0,5.0,18.0,50.0,24.0,18.0,28.0,2.0
CKH0144,Chloe Keiko Holland,7,0.0,18.0,10.0,0.0,17.0,34.0,22.0,22.0,35.0,30.0,4.0
CKP0721,Colt Kendall Perez,8,0.0,1.0,0.0,0.0,0.0,40.0,39.0,39.0,13.0,32.0,4.0
CLB0774,Charde Lareina Barrett,10,138.0,3.0,0.0,116.0,0.0,49.0,23.0,22.0,17.0,31.0,2.0
CLD0894,Cheyenne Lesley Dominguez,7,0.0,3.0,0.0,0.0,0.0,19.0,21.0,50.0,16.0,36.0,3.0
CLF0852,Candice Lunea Fischer,13,0.0,25.0,13.0,0.0,3.0,36.0,45.0,28.0,18.0,26.0,5.0
CLH0703,Colin Lawrence Holder,8,0.0,0.0,0.0,0.0,0.0,48.0,41.0,47.0,28.0,29.0,4.0
CLS0296,Chiquita Linda Stokes,7,0.0,1.0,0.0,0.0,0.0,27.0,16.0,25.0,18.0,33.0,2.0
CMB0912,Caleb Mason Ball,18,0.0,31.0,17.0,0.0,144.0,46.0,43.0,16.0,22.0,31.0,7.0
CMM0487,Cora Maisie Mclean,7,0.0,16.0,0.0,0.0,0.0,39.0,22.0,42.0,40.0,30.0,0.0
CMS0454,Cameran Madonna Shepard,7,0.0,1.0,0.0,0.0,0.0,43.0,23.0,28.0,15.0,25.0,4.0
CMW0783,Castor Mark Wolf,8,0.0,3.0,0.0,0.0,0.0,21.0,35.0,14.0,16.0,26.0,0.0
CNB0900,Colton Nathan Barber,7,0.0,3.0,0.0,0.0,0.0,34.0,43.0,38.0,16.0,27.0,3.0
CNE0352,Cameron Noel Elliott,8,0.0,23.0,8.0,0.0,0.0,39.0,22.0,44.0,15.0,30.0,2.0
CNM0800,Charissa Nyssa Mcgee,8,0.0,9.0,9.0,0.0,0.0,32.0,11.0,40.0,38.0,24.0,0.0
COF0120,Clio Ocean Faulkner,7,0.0,10.0,6.0,0.0,0.0,14.0,12.0,38.0,13.0,35.0,3.0
COM0321,Claire Olivia Martin,8,0.0,15.0,0.0,0.0,2.0,38.0,18.0,34.0,18.0,27.0,4.0
CPG0322,Connor Phelan Guerra,12,4.0,18.0,17.0,12.0,0.0,17.0,13.0,19.0,24.0,36.0,4.0
CQH0701,Caldwell Quamar Head,11,4.0,0.0,0.0,9.0,0.0,35.0,50.0,39.0,50.0,32.0,4.0
CQH0730,Cassady Quincy Hampton,8,0.0,18.0,3.0,0.0,0.0,21.0,18.0,37.0,49.0,27.0,2.0
